Sección,Nombre del Campo,Nombre Técnico del Campo,Tipo de Campo,Optionset Values,Campo en res.partner
1. Datos Generales del Cliente,,,,,
1. Datos Generales del Cliente,Nombres,x_kyc_nombres,Char,,name (parte)
1. Datos Generales del Cliente,Apellidos,x_kyc_apellidos,Char,,name (parte)
1. Datos Generales del Cliente,Sexo,x_kyc_sexo,Selection,Masculino | Femenino,
1. Datos Generales del Cliente,Nombre de la Actividad Económica,x_kyc_actividad_economica,Char,,
1. Datos Generales del Cliente,Sector (Asalariado),x_kyc_sector_asalariado,Selection,Privado | Público,
1. Datos Generales del Cliente,Estado Civil,x_kyc_estado_civil,Selection,Soltero/a | Casado/a | Divorciado/a | Viudo/a | Unión libre,
1. Datos Generales del Cliente,Lugar de Nacimiento,x_kyc_lugar_nacimiento,Char,,
1. Datos Generales del Cliente,Fecha de Nacimiento,x_kyc_fecha_nacimiento,Date,,
1. Datos Generales del Cliente,Nacionalidad,x_kyc_nacionalidad,Many2one (res.country),,nationality_country_id
1. Datos Generales del Cliente,Tipo de Documento de Identidad,x_kyc_tipo_documento,Selection,Cédula | Pasaporte,
1. Datos Generales del Cliente,No. de Documento de Identidad,x_kyc_num_documento,Char,,vat
1. Datos Generales del Cliente,Otras Nacionalidades o Residencias,x_kyc_otras_nacionalidades,Boolean,,
1. Datos Generales del Cliente,¿Residente o Ciudadano EE.UU.?,x_kyc_vinculo_eeuu,Boolean,,
1. Datos Generales del Cliente,No. Seguridad Social / TIN (EE.UU.),x_kyc_tin_eeuu,Char,,
1. Datos Generales del Cliente,Calle de Domicilio,x_kyc_calle_domicilio,Char,,street
1. Datos Generales del Cliente,No. Edificio,x_kyc_no_edificio,Char,,
1. Datos Generales del Cliente,Apartamento / Piso,x_kyc_apartamento,Char,,street2
1. Datos Generales del Cliente,País de Domicilio,x_kyc_pais_domicilio,Many2one (res.country),,country_id
1. Datos Generales del Cliente,Ciudad o Provincia,x_kyc_ciudad,Char,,city
1. Datos Generales del Cliente,Sector (Domicilio),x_kyc_sector_domicilio,Char,,
1. Datos Generales del Cliente,Teléfono Residencia,x_kyc_tel_residencia,Char,,phone
1. Datos Generales del Cliente,Teléfono Móvil,x_kyc_tel_movil,Char,,mobile
1. Datos Generales del Cliente,Correo Electrónico,x_kyc_email,Char,,email
1. Datos Generales del Cliente,Número Telefónico en EE.UU.,x_kyc_tel_eeuu,Char,,
1. Datos Generales del Cliente,¿Posee cuentas en EE.UU.?,x_kyc_cuentas_eeuu,Boolean,,
1. Datos Generales del Cliente,¿Cuenta con poder de un US Person?,x_kyc_poder_usperson,Boolean,,
1. Datos Generales del Cliente,¿Recibe/envía transferencias desde/hacia EE.UU.?,x_kyc_transferencias_eeuu,Boolean,,
1.2 Lugar de Trabajo / Ingresos,,,,,
1.2 Lugar de Trabajo / Ingresos,Origen de los Ingresos,x_kyc_origen_ingresos,Selection,Asalariado | Jubilado | Independiente | Otro,
1.2 Lugar de Trabajo / Ingresos,Nombre de la Empresa / Negocio,x_kyc_empresa_nombre,Char,,company_name
1.2 Lugar de Trabajo / Ingresos,Actividad Económica de la Empresa,x_kyc_empresa_actividad,Char,,industry_id
1.2 Lugar de Trabajo / Ingresos,Cargo u Ocupación,x_kyc_cargo,Char,,function
